run_time,problem_size_10,problem_size_20,problem_size_40,problem_size_80,problem_size_160
0,4284.8,90240.0,303104.0,262144.0,278528.0
1,3488.0,75264.0,311296.0,245760.0,278528.0
2,4576.0,66355.2,303104.0,434176.0,286720.0
3,4704.0,90240.0,253952.0,253952.0,286720.0
4,6297.6,69120.0,303104.0,352256.0,278528.0
5,3993.6,65433.6,368640.0,507904.0,278528.0
6,1395.2,94873.6,286720.0,450560.0,393216.0
7,1369.6,79872.0,270336.0,434176.0,270336.0
8,3916.8,82944.0,303104.0,425984.0,286720.0
9,4108.8,92160.0,385024.0,417792.0,270336.0
